Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,Applied Optoelect,38.23,-1.49,-3.75%,40.21,37.55,985900,7/27/2018
AAON,Aaon Inc,36.65,0.15,0.41%,36.75,36.3,179400,7/27/2018
AAT,American Assets Trust,36.77,-0.91,-2.42%,37.65,36.66,187300,7/27/2018
AAWW,Atlas Air Ww,67.25,-0.55,-0.81%,68.45,66.75,179100,7/27/2018
AAXN,Axon Inc,68.76,-3.74,-5.16%,73.11,67.51,902000,7/27/2018
ABAX,Abaxis Inc,83.05,-0.18,-0.22%,83.2,83.04,98500,7/27/2018
ABCB,Ameris Bancorp,49.58,-1.27,-2.51%,49.85,45.6,337200,7/27/2018
ABG,Asbury Automotive Group Inc,68.15,-0.05,-0.07%,69.3,67.95,256000,7/27/2018
ABM,ABM Industries Incorporated,30.82,0.02,0.06%,31.13,30.73,530100,7/27/2018
ACET,Aceto Cp,3.15,-0.18,-5.41%,3.4,3.14,204100,7/27/2018
ACLS,Axcelis Tech Inc,22.25,0.75,3.49%,22.45,21.6,453700,7/27/2018
ACOR,Acorda Therapeutics,23.95,-0.85,-3.43%,25.2,23.8,366600,7/27/2018
ADC,Agree Realty Corp,52.21,-1.18,-2.21%,53.49,51.85,285100,7/27/2018
ADTN,Adtran Inc,16.3,-0.2,-1.21%,16.5,16.15,238100,7/27/2018
AEGN,Aegion Corp,24.51,-0.36,-1.45%,25.42,24.43,57300,7/27/2018
AEIS,Advanced Energy,60,1.61,2.76%,60.84,59.16,388100,7/27/2018
AEL,American Equity Investment Life,35.81,0.1,0.28%,36.55,35.69,359400,7/27/2018
AGYS,Agilysys Inc,16.13,-0.51,-3.06%,16.7,16.05,79400,7/27/2018
AHH,Armada Hoffler Properties Inc,14.81,-0.35,-2.31%,15.25,14.78,169500,7/27/2018
AIN,Albany International Corp,66.1,-0.95,-1.42%,67.25,65.53,86000,7/27/2018
AIR,AAR Corp,47.45,-0.12,-0.25%,47.9,47.28,111900,7/27/2018
AIT,Applied Industrial Technologies,73.55,-1.15,-1.54%,74.95,73.47,83300,7/27/2018
AJRD,Aerojet Rocketdyne Holdings,28.07,-1.19,-4.07%,29.45,28,444800,7/27/2018
AKR,Acadia Realty Trust,26.36,-0.81,-2.98%,27.19,26.28,486800,7/27/2018
AKS,AK Steel Holding Corp,5.25,0.06,1.16%,5.28,5.13,12977700,7/27/2018
ALG,Alamo Group,91.03,-0.12,-0.13%,92.22,90.34,40200,7/27/2018
ALGT,Allegiant Travel Com,124.85,6.8,5.76%,125.15,118.32,364700,7/27/2018
ALRM,Alarm.Com,42.78,-1.14,-2.60%,44.38,42.64,164400,7/27/2018
AMAG,Amag Pharmaceuticals,22.05,-0.45,-2.00%,22.5,21.55,432700,7/27/2018
AMBC,Ambac Financial Grp,19.92,-0.27,-1.34%,20.4,19.77,306700,7/27/2018
AMED,Amedisys Inc,93.76,-2.65,-2.75%,96.71,93.47,193300,7/27/2018
AMN,Amn Healthcare Services Inc,61.1,-1.1,-1.77%,62.4,60.9,314600,7/27/2018
AMPH,Amphastar Pharma,17.19,-0.24,-1.38%,17.42,17.05,121200,7/27/2018
AMSF,Amerisafe Inc,63.3,-1.1,-1.71%,64.75,62.95,46300,7/27/2018
AMWD,Amer Woodmark Cp,82.1,-2.7,-3.18%,85,82,156000,7/27/2018
ANDE,Andersons Inc,34.4,-0.52,-1.50%,35.2,34.2,118700,7/27/2018
